NPS,Category,Customer ID,Customer Name,Order Date,Order ID,Product ID,Product Name,Segment,Sub-Category,Discount,Profit,Quantity,Sales
6,Office Supplies,JD-16150,Justin Deggeller,11/19/2023,US-2023-168858,OFF-EN-10001415,Staple envelope,Corporate,Envelopes,0,8,3,17
7,Furniture,JW-15955,Joni Wasserman,10/14/2023,US-2023-168837,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Consumer,Furnishings,0,4,2,9
9,Office Supplies,JO-15145,Jack O'Briant,11/3/2023,US-2023-168802,OFF-BI-10002393,Binder Posts,Corporate,Binders,0.2,6,4,18
8,Furniture,HZ-14950,Henia Zydlo,5/29/2023,US-2023-168739,FUR-FU-10003919,Eldon Executive Woodline II Cherry Finish Desk Accessories,Consumer,Furnishings,0.6,-52,4,65
1,Office Supplies,TS-21085,Thais Sissman,1/7/2023,US-2023-168690,OFF-BI-10000145,Zipper Ring Binder Pockets,Consumer,Binders,0.7,-2,3,3
9,Technology,ML-18040,Michelle Lonsdale,10/12/2023,US-2023-168655,TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Corporate,????Accessories,0,95,5,595
1,Office Supplies,ML-18040,Michelle Lonsdale,10/12/2023,US-2023-168655,OFF-BI-10002082,GBC Twin Loop Wire Binding Elements,Corporate,Binders,0.2,30,3,80
4,Office Supplies,KA-16525,Kelly Andreada,11/24/2023,US-2023-168641,OFF-AR-10003759,"Crayola Anti Dust Chalk, 12/Pack",Consumer,!Art,0,7,9,16
7,Furniture,KA-16525,Kelly Andreada,11/24/2023,US-2023-168641,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Consumer,Bookcases,0.2,-16,2,322
10,Office Supplies,KA-16525,Kelly Andreada,11/24/2023,US-2023-168641,OFF-EN-10003001,Ames Color-File Green Diamond Border X-ray Mailers,Consumer,Envelopes,0,79,2,168
3,Office Supplies,KA-16525,Kelly Andreada,11/24/2023,US-2023-168641,OFF-PA-10001972,Xerox 214,Consumer,Paper,0,6,2,13
7,Furniture,GM-14440,Gary McGarr,10/8/2023,US-2023-168613,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Consumer,Chairs,0.1,3,2,146
8,Office Supplies,DK-12835,Damala Kotsonis,9/9/2023,US-2023-168403,OFF-AP-10003278,Belkin 7-Outlet SurgeMaster Home Series,Corporate,Appliances,0.2,1,1,11
8,Office Supplies,DK-12835,Damala Kotsonis,9/9/2023,US-2023-168403,OFF-PA-10002036,Xerox 1930,Corporate,Paper,0.2,11,6,31
1,Furniture,BD-11725,Bruce Degenhardt,8/3/2023,US-2023-168396,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Consumer,Furnishings,0,11,3,124
3,Office Supplies,BD-11725,Bruce Degenhardt,8/3/2023,US-2023-168396,OFF-LA-10001297,Avery 473,Consumer,Labels,0,25,5,52
10,Technology,DV-13045,Darrin Van Huff,12/11/2023,US-2023-168389,TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,Corporate,Phones,0.2,-17,4,74
5,Office Supplies,DV-13045,Darrin Van Huff,12/11/2023,US-2023-168389,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Corporate,!Art,0.2,1,1,14
10,Furniture,DV-13045,Darrin Van Huff,12/11/2023,US-2023-168389,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Corporate,Tables,0.45,-420,6,722
6,Furniture,DV-13045,Darrin Van Huff,12/11/2023,US-2023-168389,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Corporate,Chairs,0.2,-12,1,65
3,Office Supplies,AP-10915,Arthur Prichep,4/27/2023,US-2023-168228,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Consumer,!Art,0,33,4,124
9,Office Supplies,AP-10915,Arthur Prichep,4/27/2023,US-2023-168228,OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Consumer,!Art,0,12,2,47
8,Office Supplies,AP-10915,Arthur Prichep,4/27/2023,US-2023-168228,OFF-AR-10000390,Newell Chalk Holder,Consumer,!Art,0,6,3,12
2,Furniture,RM-19750,Roland Murray,3/6/2023,US-2023-168193,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Consumer,Furnishings,0,17,3,72
6,Office Supplies,RM-19750,Roland Murray,3/6/2023,US-2023-168193,OFF-PA-10002254,Xerox 1883,Consumer,Paper,0,12,1,26
3,Office Supplies,JB-16000,Joy Bell-,11/2/2023,US-2023-168179,OFF-PA-10001800,Xerox 220,Consumer,Paper,0,9,3,19
7,Office Supplies,SH-20395,Shahid Hopkins,8/6/2023,US-2023-168172,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",Consumer,Supplies,0,21,4,70
4,Office Supplies,JD-16060,Julia Dunbar,3/5/2023,US-2023-168123,OFF-BI-10001071,GBC ProClick Punch Binding System,Consumer,Binders,0,63,2,128
0,Office Supplies,JD-16060,Julia Dunbar,3/5/2023,US-2023-168123,OFF-BI-10001097,Avery Hole Reinforcements,Consumer,Binders,0,9,3,19
4,Office Supplies,JD-16060,Julia Dunbar,3/5/2023,US-2023-168123,OFF-ST-10000877,Recycled Steel Personal File for Standard File Folders,Consumer,Storage,0,58,4,221
1,Office Supplies,JD-16060,Julia Dunbar,3/5/2023,US-2023-168123,OFF-FA-10002763,Advantus Map Pennant Flags and Round Head Tacks,Consumer,Fasteners,0,3,2,8
7,Technology,GT-14635,Grant Thornton,11/4/2023,US-2023-168116,TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Corporate,Machines,0.5,-3840,4,8000
3,Office Supplies,GT-14635,Grant Thornton,11/4/2023,US-2023-168116,OFF-AP-10002457,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Corporate,Appliances,0.2,15,2,167
8,Technology,JK-15640,Jim Kriz,7/3/2023,US-2023-168109,TEC-MA-10001148,Okidata MB491 Multifunction Printer,Home Office,Machines,0.2,210,6,2395
3,Technology,JK-15640,Jim Kriz,7/3/2023,US-2023-168109,TEC-PH-10000702,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Home Office,Phones,0.2,3,1,8
10,Technology,JK-15640,Jim Kriz,7/3/2023,US-2023-168109,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Home Office,????Accessories,0,26,2,60
6,Technology,JK-15640,Jim Kriz,7/3/2023,US-2023-168109,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Home Office,????Accessories,0,743,4,1688
6,Office Supplies,CP-12340,Christine Phan,4/24/2023,US-2023-168102,OFF-ST-10001370,Sensible Storage WireTech Storage Systems,Corporate,Storage,0.2,-21,2,114
7,Office Supplies,JL-15505,Jeremy Lonsdale,11/11/2023,US-2023-167976,OFF-SU-10004661,Acme Titanium Bonded Scissors,Consumer,Supplies,0,7,3,26
3,Office Supplies,JF-15565,Jill Fjeld,11/6/2023,US-2023-167941,OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Consumer,Storage,0.2,-52,4,259
2,Furniture,JF-15565,Jill Fjeld,11/6/2023,US-2023-167941,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",Consumer,Furnishings,0.2,6,2,28
6,Office Supplies,JF-15565,Jill Fjeld,11/6/2023,US-2023-167941,OFF-PA-10001800,Xerox 220,Consumer,Paper,0.2,11,6,31
0,Office Supplies,JF-15565,Jill Fjeld,11/6/2023,US-2023-167941,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Consumer,Appliances,0.2,44,3,500
4,Office Supplies,JF-15565,Jill Fjeld,11/6/2023,US-2023-167941,OFF-BI-10002827,Avery Durable Poly Binders,Consumer,Binders,0.7,-11,8,13
4,Office Supplies,JL-15835,John Lee,12/9/2023,US-2023-167920,OFF-AP-10000159,Belkin F9M820V08 8 Outlet Surge,Consumer,Appliances,0,62,5,215
1,Technology,JL-15835,John Lee,12/9/2023,US-2023-167920,TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Consumer,??Copiers,0,630,2,1400
8,Technology,JL-15835,John Lee,12/9/2023,US-2023-167920,TEC-AC-10001013,Logitech ClearChat Comfort/USB Headset H390,Consumer,????Accessories,0,48,5,146
9,Office Supplies,JL-15835,John Lee,12/9/2023,US-2023-167920,OFF-ST-10004963,Eldon Gobal File Keepers,Consumer,Storage,0,1,1,15
2,Office Supplies,JL-15835,John Lee,12/9/2023,US-2023-167920,OFF-LA-10004409,Avery 492,Consumer,Labels,0,3,2,6
2,Office Supplies,JL-15835,John Lee,12/9/2023,US-2023-167920,OFF-BI-10004236,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Consumer,Binders,0,14,2,29
10,Office Supplies,JL-15835,John Lee,12/9/2023,US-2023-167920,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Consumer,Binders,0,7,4,16
3,Office Supplies,JL-15835,John Lee,7/30/2023,US-2023-167913,OFF-ST-10000585,Economy Rollaway Files,Consumer,Storage,0,86,2,330
3,Office Supplies,JL-15835,John Lee,7/30/2023,US-2023-167913,OFF-LA-10002787,Avery 480,Consumer,Labels,0,13,7,26
5,Office Supplies,JG-15805,John Grady,5/21/2023,US-2023-167899,OFF-AR-10001988,Bulldog Table or Wall-Mount Pencil Sharpener,Corporate,!Art,0,5,3,18
9,Furniture,JG-15805,John Grady,5/21/2023,US-2023-167899,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Corporate,Furnishings,0,73,5,520
8,Office Supplies,AF-10870,Art Ferguson,11/18/2023,US-2023-167871,OFF-SU-10001225,Staple remover,Consumer,Supplies,0.2,-1,1,3
2,Office Supplies,AF-10870,Art Ferguson,11/18/2023,US-2023-167871,OFF-PA-10001977,Xerox 194,Consumer,Paper,0.2,16,1,44
3,Office Supplies,RW-19690,Robert Waldorf,1/15/2023,US-2023-167752,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Consumer,Appliances,0.2,313,8,1924
6,Office Supplies,RW-19690,Robert Waldorf,1/15/2023,US-2023-167752,OFF-AP-10000159,Belkin F9M820V08 8 Outlet Surge,Consumer,Appliances,0.2,4,1,34
6,Office Supplies,MC-17575,Matt Collins,2/3/2023,US-2023-167703,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,Consumer,Binders,0.7,-4,3,5
2,Office Supplies,MC-17575,Matt Collins,2/3/2023,US-2023-167703,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Consumer,Storage,0.2,36,2,286
9,Office Supplies,TC-21295,Toby Carlisle,5/6/2023,US-2023-167668,OFF-LA-10004544,Avery 505,Consumer,Labels,0,30,4,59
7,Office Supplies,MP-18175,Mike Pelletier,10/5/2023,US-2023-167661,OFF-BI-10001097,Avery Hole Reinforcements,Home Office,Binders,0.2,7,4,20
5,Office Supplies,MP-18175,Mike Pelletier,10/5/2023,US-2023-167661,OFF-BI-10002571,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Home Office,Binders,0.2,13,5,40
9,Office Supplies,MP-18175,Mike Pelletier,10/5/2023,US-2023-167661,OFF-PA-10002581,Xerox 1951,Home Office,Paper,0,28,2,62
7,Office Supplies,FC-14245,Frank Carlisle,3/6/2023,US-2023-167640,OFF-LA-10004559,Avery 49,Home Office,Labels,0,6,4,12
7,Office Supplies,FC-14245,Frank Carlisle,3/6/2023,US-2023-167640,OFF-PA-10001033,Xerox 1893,Home Office,Paper,0,141,7,287
8,Technology,FC-14245,Frank Carlisle,3/6/2023,US-2023-167640,TEC-PH-10001336,Digium D40 VoIP phone,Home Office,Phones,0.2,23,2,206
1,Office Supplies,FC-14245,Frank Carlisle,3/6/2023,US-2023-167640,OFF-AR-10003158,Fluorescent Highlighters by Dixon,Home Office,!Art,0,8,6,24
0,Technology,MY-18295,Muhammed Yedwab,9/3/2023,US-2023-167626,TEC-AC-10004353,Hypercom P1300 Pinpad,Corporate,????Accessories,0.2,21,2,101
6,Office Supplies,MY-18295,Muhammed Yedwab,9/3/2023,US-2023-167626,OFF-PA-10003424,"""While you Were Out"" Message Book, One Form per Page",Corporate,Paper,0.2,3,3,9
8,Furniture,EG-13900,Emily Grady,12/8/2023,US-2023-167570,FUR-CH-10003396,Global Deluxe Steno Chair,Consumer,Chairs,0.3,-59,4,216
1,Furniture,EM-14200,Evan Minnotte,7/25/2023,US-2023-167549,FUR-TA-10004767,Safco Drafting Table,Home Office,Tables,0.3,-4,6,298
6,Office Supplies,KD-16495,Keith Dawkins,8/13/2023,US-2023-167542,OFF-LA-10004093,Avery 486,Corporate,Labels,0.2,6,3,18
1,Furniture,CP-12085,Cathy Prescott,1/13/2023,US-2023-167402,FUR-BO-10001608,"Hon Metal Bookcases, Black",Corporate,Bookcases,0,53,3,213
8,Office Supplies,CP-12085,Cathy Prescott,1/13/2023,US-2023-167402,OFF-AR-10004010,Hunt Boston Vacuum Mount KS Pencil Sharpener,Corporate,!Art,0,55,6,210
7,Office Supplies,CP-12085,Cathy Prescott,1/13/2023,US-2023-167402,OFF-PA-10004983,Xerox 23,Corporate,Paper,0,16,5,32
3,Office Supplies,CP-12085,Cathy Prescott,1/13/2023,US-2023-167402,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Corporate,Supplies,0,83,5,4164
7,Office Supplies,KM-16720,Kunst Miller,12/2/2023,US-2023-167395,OFF-SU-10001935,Staple remover,Consumer,Supplies,0,0,2,4
1,Office Supplies,KM-16720,Kunst Miller,12/2/2023,US-2023-167395,OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Consumer,Appliances,0,80,7,287
3,Technology,KM-16720,Kunst Miller,12/2/2023,US-2023-167395,TEC-PH-10004977,GE 30524EE4,Consumer,Phones,0,284,5,980
9,Furniture,EH-14005,Erica Hernandez,9/22/2023,US-2023-167381,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Home Office,Bookcases,0,41,2,242
9,Office Supplies,EH-14005,Erica Hernandez,9/22/2023,US-2023-167381,OFF-LA-10000134,Avery 511,Home Office,Labels,0,13,9,28
3,Technology,GZ-14545,George Zrebassa,7/26/2023,US-2023-167318,TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Corporate,????Accessories,0,660,5,1650
2,Furniture,GZ-14545,George Zrebassa,7/26/2023,US-2023-167318,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Corporate,Chairs,0.2,45,3,362
2,Office Supplies,NP-18670,Nora Paige,11/2/2023,US-2023-167227,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Consumer,Paper,0,6,2,12
10,Office Supplies,NP-18670,Nora Paige,11/2/2023,US-2023-167227,OFF-AP-10001962,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,Consumer,Appliances,0,21,10,84
6,Office Supplies,BP-11185,Ben Peterman,12/10/2023,US-2023-167150,OFF-BI-10001097,Avery Hole Reinforcements,Corporate,Binders,0.2,7,4,20
9,Office Supplies,BP-11185,Ben Peterman,12/10/2023,US-2023-167150,OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Corporate,Binders,0.2,23,2,66
4,Technology,BM-11650,Brian Moss,3/24/2023,US-2023-167101,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Corporate,????Accessories,0,12,2,26
5,Office Supplies,BM-11650,Brian Moss,3/24/2023,US-2023-167101,OFF-PA-10000357,Xerox 1888,Corporate,Paper,0,107,4,222
4,Furniture,DK-12835,Damala Kotsonis,10/21/2023,US-2023-167094,FUR-CH-10000155,Global Comet Stacking Armless Chair,Corporate,Chairs,0.2,48,2,478
10,Office Supplies,DK-12835,Damala Kotsonis,10/21/2023,US-2023-167094,OFF-PA-10003953,Xerox 218,Corporate,Paper,0.2,2,1,5
10,Technology,DK-12835,Damala Kotsonis,10/21/2023,US-2023-167094,TEC-AC-10003116,Memorex Froggy Flash Drive 8 GB,Corporate,????Accessories,0.2,7,2,28
4,Office Supplies,LC-16930,Linda Cazamias,6/10/2023,US-2023-167080,OFF-AR-10001868,Prang Dustless Chalk Sticks,Corporate,!Art,0,4,5,8
2,Office Supplies,DC-12850,Dan Campbell,11/23/2023,US-2023-167017,OFF-SU-10001935,Staple remover,Consumer,Supplies,0,0,2,4
2,Furniture,VS-21820,Vivek Sundaresam,5/23/2023,US-2023-167003,FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Consumer,Tables,0.2,-6,3,171
3,Office Supplies,MG-17890,Michael Granlund,4/24/2023,US-2023-166933,OFF-FA-10002676,Colored Push Pins,Home Office,Fasteners,0,1,1,2
8,Furniture,SO-20335,Sean O'Donnell,12/1/2023,US-2023-166926,FUR-BO-10002598,"Hon Metal Bookcases, Putty",Consumer,Bookcases,0,41,2,142
5,Office Supplies,SO-20335,Sean O'Donnell,12/1/2023,US-2023-166926,OFF-PA-10001593,Xerox 1947,Consumer,Paper,0,19,7,42
3,Technology,AH-10210,Alan Hwang,11/23/2023,US-2023-166919,TEC-PH-10001305,Panasonic KX TS208W Corded phone,Consumer,Phones,0.2,20,5,196
8,Technology,KH-16630,Ken Heidel,9/11/2023,US-2023-166898,TEC-PH-10002564,OtterBox Defender Series Case - Samsung Galaxy S4,Corporate,Phones,0.2,18,6,144
7,Office Supplies,KH-16630,Ken Heidel,9/11/2023,US-2023-166898,OFF-PA-10002262,Xerox 192,Corporate,Paper,0,9,3,19
8,Office Supplies,TS-21505,Tony Sayre,9/18/2023,US-2023-166856,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Consumer,Binders,0.2,4,7,10
0,Technology,TS-21505,Tony Sayre,9/18/2023,US-2023-166856,TEC-AC-10004992,Kingston Digital DataTraveler 64GB USB 2.0,Consumer,????Accessories,0,8,3,101
1,Furniture,SJ-20125,Sanjit Jacobs,4/20/2023,US-2023-166849,FUR-FU-10004597,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Home Office,Furnishings,0.6,-52,2,44
8,Office Supplies,DK-13375,Dennis Kane,11/12/2023,US-2023-166835,OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Consumer,Storage,0.2,-55,2,221
9,Technology,HL-15040,Hunter Lopez,11/17/2023,US-2023-166709,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Consumer,??Copiers,0,5040,3,10500
3,Technology,CC-12430,Chuck Clark,5/20/2023,US-2023-166695,TEC-MA-10003176,Okidata B400 Printer,Home Office,Machines,0.2,39,1,343
